"Submission Date","","","Name as many attractions as you can that had FastPass+ as of March 1, 2020 (i.e., before the parks closed).","","Children leaving this location are given a bookmark to commemorate their visit","Belle and Aurora trade off meeting at this Epcot pavilion","This Hollywood Studios restaurant features a princess, among other characters","Jasmine can often be found with Aladdin at a space in this Adventureland shopping area","One princess was evicted to make way for four in this location that opened in 2013","Originally named after the King from a 1959 film","","This seasonally themed location took the space of an entire Epcot pavilion expansion pad","This closed location featured North American animals","It’s original location opened in 1996 relatively close to its current location that opened in 2012","This location is based on a fortress from the 13th Century","You’ll be wishing you’d bought some caramel corn right next door while waiting for Snow White at this pavilion","This location was once called Spoodles","","","Horizons - 1983","Splash Mountain - 2018","Spaceship Earth - 1982","Space Mountain - 1975","The Land - 1982","The Living Seas - 1986","IllumiNations: Reflections of Earth - 2007","Captain Eo - 1986","","it’s a small world - 1991","Enchanted Tiki Room - 1971","Tomorrowland Transit Authority - 2005","Wonders of Life - 1989","World of Motion - 1982","Rock’n’Rollercoaster - 2008","Dinosaur - 1998","If You Had Wings - 1972","","","Person #1","Person #2","Person #3 (or at least, who this *should* be)","Person #4","Person #5","Person #6","","Person #7","Person #8","Person #9","Person #10","Person #11","Person #12","","Person #13","Person #14","Person #15","Person #16","Person #17","Person #18",""
"2020-07-08 12:28:09","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 philarmagic
 aladdins carpets
 astro orbiters
 slinky dog dash
 peter pan
 7 dwarfs mine train
 teacups 
 small world
 pirates of the caribbean 
 tiki room
 winnie the pooh
 test track
 frozen
 mission space
 tower of terror
 rockin rollercoaster
 runaway railway","Time remaining: 02:16","","","","","","","Time remaining: 02:16","","","","","germany pavilion ","","Time remaining: 02:16","Time remaining: 02:59","","","","","","","","","Time remaining: 02:59","","","","","","","","","Time remaining: 02:59","Time remaining: 05:14","","neil patrick harrison ","","","","","Time remaining: 05:14","","","","","michael jackson","","Time remaining: 05:14","judy dench","","","","","","Time remaining: 05:14"
"2020-07-06 15:54:53","Time remaining: 00:00","Time remaining: 00:00","7 dwarfs
 Splash mountain
 Pirates
 Big thunder
 Goofy barnstormer
 Little mermaid
 Pooh
 Dumbo
 Aladdin
 Millennium falcon
 Toy story mania
 slinky dog dash
 Alien swirling saucers
 Star tours
 Rock and roller coaster
 Tower of terror
 Frozen
 Spaceship earth
 Soarin
 Test track
 Nemo
 Flight of passage
 Safari
 ","Time remaining: 00:00","Enchanted tales with belle","France ","","","Cinderella","","Time remaining: 00:00","","","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","","Ziploc","","","","","","","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","Time remaining: 02:49","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 02:21","","Felicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 01:51","Judy Dench","Rhea Pearlman","Kevin Pollock","Ton Loc","Jon Lovitz","Gary Carter","Time remaining: 01:30"
"2020-07-06 15:54:42","Time remaining: 00:00","Time remaining: 00:00","Seven dwarfs mine train","Time remaining: 00:00","Enchanted tales with belle","France ","Hollywood and Vine ","Marketplace Bazar","Princess fairytale hall","Prince Charming regal carousel","Time remaining: 00:00","Norway character meet","Rafikis planet watch","Character spot","Tom Sawyer island ","Germany","Trattoria al forno ","Time remaining: 00:00","Time remaining: 00:00","GE","Ziplock","AT and T","RCA","Kraft","DELUGE","Simens ","Kodak","Time remaining: 00:00","Anthem ","Florida Citrus","GE","Met life","GM","Hanes","McDonald’s","Eastern","Time remaining: 00:00","Time remaining: 03:38","Patrick Wharburton ","Neil Patrick Harris","Ellen degeneress ","Martin short","Gilbert godfried ","Robin Williams ","Time remaining: 03:38","","","","","Michael jackson","","Time remaining: 03:38","Judy Dench","","","","","","Time remaining: 03:38"
"2020-07-06 15:53:20","Time remaining: 00:00","Time remaining: 00:00","Splash mountain 
 Space mountain 
 Thunder mountain 
 Rockin rollercoaster
 Tower of terror
 Tea cups
 Space ranger spin
 Slinkydog dash 
 Alien swirling saucers
 Mickey and Minnies runaway railway
 Expedition Everest 
 Kilimanjaro safari
 Flight of passage 
 Navi river journey 
 Dinosaur
 Journey if the little mermaid 
 Peter pans flight 
 Dumbo 
 Barnstormer 
 
 ","Time remaining: 00:00","Enchanted tales with belle","France ","Brown Derby","Enchanted Tiki room","Snow White ","Aurora","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 02:13","","","","","","","","","Time remaining: 02:13","","","","","","Aerosmith","","","Time remaining: 02:13","Time remaining: 04:46","","Neil Patrick Harris ","","","","","Time remaining: 04:46","","","","","","","Time remaining: 04:46","","","","","","","Time remaining: 04:46"
"2020-07-06 15:53:08","Time remaining: 00:00","Time remaining: 00:00","Seven Dwarfs Mine Train
 Peter Pan's Flight
 it's a small world
 Mickey's Philirmagic
 Many Adventures of Winnie The Pooh
 Mad Tea Party
 Barnstormer
 Dumbo The Flying Elephant
 Under The Sea - Voyage Of The Little Mermaid
 Tomorrowland Speedway
 Space Mountain
 Princess Fairytale Hall
 Buzz Lightyear Space Ranger Spin
 Jungle Cruise
 Magic Carpets of Aladdin
 Pirates of the Caribbean
 Big Thunder Mountain Railroad
 Splash Mountain
 Haunted Mansion
 Spaceship Earth
 Soarin'
 Test Track
 Mission Space
 Frozen Ever After
 Journey into imagnitiion with Figment
 Living With The Land
 Kilimanjaro Safari
 Navi River Journey
 Flight of Passage
 Dinosaur
 Kali River Rapids
 For the first time in forever, a frozen sing-along
 Star Tours
 Smuggler's Run
 Toy Story Mania
 Slinky Dog Dash
 Alien Swirling Saucers","Time remaining: 00:00","enchanted tales with bell","france","Hollywood & Vine","agrahbah bazaar","princess fairytale hall","","Time remaining: 00:00","","","","","Germany","Trattoria Al Forno","Time remaining: 00:00","Time remaining: 01:27","","Ziploc","","FedEx","","","Sylvania","","Time remaining: 01:27","","","","","","Hanes","","","Time remaining: 01:27","Time remaining: 04:46","Patrick Warburton","Niel Patrick harris","Ellen Degeneres","Martin Short","","Robin Williams","Time remaining: 04:46","","","","","Michael Jackson","","Time remaining: 04:46","Judi Dench","","","","","","Time remaining: 04:46"
"2020-07-06 15:50:48","Time remaining: 00:00","Time remaining: 00:00","Space mountain 
 Thunder mountain 
 Splash mountain 
 Peter Pan 
 Dumbo
 Buzz space ranger 
 Haunted mansion 
 Rock and roll
 Tower of terror 
 Toy story Mania
 Slinky Dog
 Rise of the resistance
 Alien saucers 
 Flight of passage 
 My Everest 
 Philharmagic 
 Fanstasmic 
 Fireworks magic kingdom 
 Frozen 
 Sorin 
 Mission space spaceship earth ","Time remaining: 01:12","Enchanted tales with bell","France","","","","","Time remaining: 01:12","","","","","Germany","","Time remaining: 01:12","Time remaining: 02:47","","Ziploc","","","","","","","Time remaining: 02:47","","","","","","","","","Time remaining: 02:47","Time remaining: 05:14","","Niel Patrick harris","","","","","Time remaining: 05:14","","","","","Michael Jackson ","","Time remaining: 05:14","","","","","","","Time remaining: 05:13"
"2020-07-06 15:50:26","Time remaining: 00:00","Time remaining: 00:00","Space mountain
 Expedition Everest 
 Flight of passage
 Under the seas with nemo 
 Frozen 
 Soarin
 Test track
 Kilimanjaro safaris 
 Rock n roller coaster 
 Tower of terror 
 Toy story mania
 Star tours
 
 ","Time remaining: 00:07","","","","","","","Time remaining: 00:07","","","","","","","Time remaining: 00:07","Time remaining: 01:02","","Ziplock","Siemens","","","","","","Time remaining: 01:02","","","","","","","","","Time remaining: 01:02","Time remaining: 04:28","Patrick warburton ","Neil Patrick Harris ","","","","","Time remaining: 04:10","","","","","Michael jackson","","Time remaining: 04:10","Judy Dench","","","","","","Time remaining: 04:10"
"2020-07-06 15:50:13","Time remaining: 00:00","Time remaining: 00:00","Space Mountain ","Time remaining: 00:00","Belles magical tales","France","Brown Derby ","oasis","princess fantasy Faire","King Arthurs Carousel","Time remaining: 00:00","idk","idk","idk","idk","idk","Idk","Time remaining: 00:00","Time remaining: 01:20","idk","idk","idk","idk","idk","idk","idk","idk","Time remaining: 01:20","idk","Dole","idk","idk","idk","Bose","idk","idk","Time remaining: 01:20","Time remaining: 04:11","Patrick","Neil Partick Harris","Ellen?","idk","Robert Godfried","Robin Williams","Time remaining: 04:11","idk","idk","idk","idk","Michael Jackson","idk","Time remaining: 04:11","Dame Judy Dench","idk","idk","idk","idk","idk","Time remaining: 04:10"
"2020-07-06 15:50:13","Time remaining: 00:00","Time remaining: 00:00","Peter Pan's Flight
 Pirates of the Carribean
 Haunted Mansion
 Splash Mountain
 Space Mountain
 Big Thunder Mountain
 Spaceship Earth
 Mission Space
 Journey Into Imagination with Figment
 Soarin
 Dinosaur
 Flight of Passage
 Na'avi River
 Kilimanjaro Safari
 It's Tough to be a Bug
 Star Tours
 Jungle Cruise
 Tower of Terror
 Under the Sea with Ariel
 Fantasmic
 Test Track
 Living with the Land 
 Buzz Lightyears Space Ranger Spin
 Toy Story Midway Mania
 Muppet Vision 3D","Time remaining: 01:08","Enchanted Tales with Belle","France","Brown Derby","Oasis","Fairytale Hall","","Time remaining: 01:08","","","","","Germany","","Time remaining: 01:08","Time remaining: 02:07","","","","","","","","","Time remaining: 02:07","","","","","","","","","Time remaining: 02:07","Time remaining: 04:19","Patrick Warburton","Neil Patrick Harris","","Eric Idle","Gilbert Gottfried","Robin Williams","Time remaining: 04:19","","","","","Michael Jackson","","Time remaining: 04:19","Judi Dench","","","","","","Time remaining: 04:18"
"2020-07-06 15:50:09","Time remaining: 00:00","Time remaining: 00:00","Journey Into Imagination with Figment","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Vine","Arabian Square","Snow White","Swiss Family Robinson","Time remaining: 00:00","World ShowPlace","Discovery Island","Aloha Isle","The Fort from Pirates of the Caribbean","United Kingdom","Auntie Gravity","Time remaining: 00:00","Time remaining: 00:00","General Electric","Ziploc","Bell System","RCA","Kraft","United Technologies","Siemens","Kodak","Time remaining: 00:00","Mattel","Florida Citrus Company","Alamo Rent-a-Car","MetLife","General Motors","Hane’s","McDonalds","Eastern Airlines","Time remaining: 00:00","Time remaining: 02:56","Soarin’","California Screamin’","Ellen DeGeneres","The Making of Me","Enchanted Tiki Room: Under New Management ","StormStruck","Time remaining: 02:56","Mission: SPACE","Flight of Passage","Test Track","Rock N Roller Coaster","Michael Jackson","Awesome Planet","Time remaining: 02:56","Spaceship Earth","Rock N Roller Coaster ","Sounds Dangerous ","Food Rocks!","Space Mountain","Sum of All Thrills","Time remaining: 02:56"
"2020-07-06 15:49:45","Time remaining: 00:00","Time remaining: 00:05","Flight of passage","Time remaining: 01:26","Kidcot ","France","","","","","Time remaining: 01:26","The land","","","","Germany","","Time remaining: 01:26","Time remaining: 03:08","","","","","","","","","Time remaining: 03:08","","","","","","","","","Time remaining: 03:08","Time remaining: 05:21","","Neil Patrick Harris","","Bill Nye","","","Time remaining: 05:21","","","","","Michael Jackson","","Time remaining: 05:21","","","","","","","Time remaining: 05:21"
"2020-07-06 15:46:43","Time remaining: 00:00","Time remaining: 00:00","FOP
 Splash
 Space
 Tower of Terror
 ","Time remaining: 00:47","","","","","","King Arthur","Time remaining: 00:47","","","","","","","Time remaining: 00:47","Time remaining: 02:28","","Ziploc","","","","","","","Time remaining: 02:28","","Dole","","","","","","","Time remaining: 02:28","Time remaining: 05:24","","Neil Patrick Harris","","","","Jim Henson","Time remaining: 05:24","","","","","Michael Jackson","","Time remaining: 05:24","","","","","","","Time remaining: 05:24"
